,genotype,fitness,tree_depth,original_phenotype,mapping_values,phenotype,other_info
30,"[[0], [3], [], [2, 0, 0], [1], [4]]",1.7276814414661847,4,x[4],"[1, 1, 0, 0, 1, 1]",x[4],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
31,"[[0], [3], [], [], [1], [4]]",1.7276814414661847,4,x[4],"[1, 1, 0, 0, 1, 1]",x[4],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
32,"[[0], [1, 3, 1, 3, 0, 3, 2, 3, 4, 0, 0, 3, 3, 4, 3, 3, 1, 1, 3, 3, 4, 0, 0, 3], [0, 4, 3], [2], [2, 1, 2, 0, 2, 1, 2, 1, 0, 1, 1, 0], [2]]",1.875700163499884,7,(Constant+(x[2]**Constant|_div_|_exp_(x[0]))),"[1, 8, 3, 1, 4, 1]",(0.5942250656041724+(x[2]**0.723323292631134|_div_|_exp_(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
33,"[[0], [1, 3, 3], [2], [], [0, 0], []]",1.8855916129323307,4,(x[0]*x[0]),"[1, 3, 1, 0, 2, 0]",(x[0]*x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
34,"[[0], [1, 3, 3], [2, 1, 3, 2, 4], [], [0, 0, 1, 0, 2, 0, 0, 0, 1], []]",1.8855916129323307,4,(x[0]*x[0]),"[1, 3, 1, 0, 2, 0]",(x[0]*x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
35,"[[0], [1, 3, 3], [2], [3], [0, 0], [4]]",1.8855916129323307,4,(x[0]*x[0]),"[1, 3, 1, 0, 2, 0]",(x[0]*x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
36,"[[0], [2, 1, 4, 1, 1, 3, 3, 3, 0, 2, 3, 3, 1, 4, 0, 3, 3, 2, 3, 3], [4, 2, 1, 0, 1, 0], [3, 2, 4], [1, 2, 2, 2, 2, 1, 2, 2, 2], [1, 2, 1]]",1.8870769272974102,9,_log_((((x[1]**Constant)*Constant)/(_exp_(Constant)-Constant*x[5])+(x[2]-Constant/(_inv_(Constant)*x[5])+Constant))),"[1, 20, 6, 3, 9, 2]",_log_((((x[1]**0.5942250656041724)*0.723323292631134)/(_exp_(0.08992457266499854)-0.08558322728806267*x[5])+(x[2]-0.33794059917606123/(_inv_(0.08756503566974927)*x[5])+0.8433798356967075))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
37,"[[0], [2, 4, 2, 3, 4, 3, 2, 2, 3], [], [2, 3, 4, 2], [1, 2, 0], [4]]",2.0427882320957953,8,_exp_(_log_(x[4])/(Constant/(_inv_(_exp_(x[0]))*x[5])*x[5])),"[1, 9, 0, 4, 3, 1]",_exp_(_log_(x[4])/(0.5942250656041724/(_inv_(_exp_(x[0]))*x[5])*x[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
38,"[[0], [2, 4, 2, 3, 4, 3, 2, 2, 3], [4], [2, 3, 4, 2], [1, 2, 0], [4]]",2.0427882320957953,8,_exp_(_log_(x[4])/(Constant/(_inv_(_exp_(x[0]))*x[5])*x[5])),"[1, 9, 0, 4, 3, 1]",_exp_(_log_(x[4])/(0.5942250656041724/(_inv_(_exp_(x[0]))*x[5])*x[5])),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
39,"[[0], [1, 2, 4, 4, 3, 4, 3, 3, 2, 3, 3], [0], [1, 4], [0, 1, 0, 0, 0], [3, 1]]",2.0813874602807334,9,(cos(x[0]/(x[3]/(x[0]*x[5])*x[5])/(_inv_(x[0])*x[5]))+x[0]),"[1, 11, 1, 2, 5, 1]",(cos(x[0]/(x[3]/(x[0]*x[5])*x[5])/(_inv_(x[0])*x[5]))+x[0]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
40,"[[0], [2, 1, 4, 1, 3, 3, 3, 3, 0, 2, 3, 3, 1, 4, 0, 3, 3, 2, 3, 3], [0, 4, 4, 0, 1, 2], [3, 2, 4], [1, 2, 2, 2, 2, 1, 2, 2, 2], [4, 2]]",2.0896940115878118,8,_log_(((x[4]+Constant)/(Constant*x[5])**Constant)),"[1, 8, 2, 1, 4, 1]",_log_(((x[4]+0.5942250656041724)/(0.723323292631134*x[5])**0.08992457266499854)),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
41,"[[0], [2, 3], [], [2], [2], []]",2.136939326152884,4,_exp_(Constant),"[1, 2, 0, 1, 1, 0]",_exp_(0.5942250656041724),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
42,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
43,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
44,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
45,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
46,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
47,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
48,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
49,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
50,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
51,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
52,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
53,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
54,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
55,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
56,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
57,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
58,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
59,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
60,"[[0], [3], [3, 0, 2, 1, 3, 2, 3], [], [1, 1, 0, 1, 0, 1, 2, 2, 2, 0, 1, 2, 0, 1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
61,"[[0], [3], [1], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
62,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
63,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
64,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
65,"[[0], [3], [4, 2, 4, 4, 0, 2, 0, 1, 3], [], [0, 2, 2, 0, 0, 1, 0, 1, 2, 1, 2, 2, 0], [2]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
66,"[[0], [3], [1, 1, 3, 3, 3, 4, 4, 3, 1, 2], [], [0, 0, 2, 0, 0, 2, 0, 2, 1, 2, 2, 2, 0, 1, 2, 1], [3, 1, 3]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
67,"[[0], [3], [], [4], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
68,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
69,"[[0], [3, 4, 2, 2, 2, 3, 3, 0, 1, 3, 4, 4, 3, 3, 0, 1, 3, 1, 3, 3, 3], [4, 1, 4, 0, 2, 2], [4, 1, 0, 0], [0, 2, 2, 0, 0, 2, 2, 2, 1], [1]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
70,"[[0], [3], [], [4, 1], [0, 2, 1, 2, 0, 0, 1, 2], [2]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
71,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
72,"[[0], [3], [], [3, 3, 1, 1, 4, 1], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
73,"[[0], [3], [], [4, 3, 2], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
74,"[[0], [3], [], [1, 1], [0, 2, 0, 0, 1, 0, 1, 0, 0, 2, 2, 2, 2, 0, 0, 0, 0, 2], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
75,"[[0], [3], [], [], [0, 0], [5]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
76,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
77,"[[0], [3], [1, 4, 2, 1], [], [0], [3, 0]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
78,"[[0], [3], [], [1, 1], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
79,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
80,"[[0], [3], [], [], [0], [0]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
81,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
82,"[[0], [3], [], [4], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
83,"[[0], [3], [1], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
84,"[[0], [3], [3, 2, 4, 2, 1, 2, 1, 0, 1], [0, 3], [1, 0, 1, 0, 1, 0, 2, 1, 2, 0, 2, 2], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
85,"[[0], [3], [], [], [0], [0]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
86,"[[0], [3], [], [], [0, 0, 1, 0, 2, 0, 0, 0, 1], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
87,"[[0], [3], [], [], [0, 1, 0, 1, 0, 1, 2, 2, 2, 0, 1, 2, 0, 1], [0]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
88,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
89,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
90,"[[0], [3], [], [2, 4, 2, 0], [0, 0, 1, 0, 2, 0, 0, 0, 1], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
91,"[[0], [3], [], [], [0], [3, 0]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
92,"[[0], [3], [], [], [0], [3]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
93,"[[0], [3], [], [], [0, 1, 2], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
94,"[[0], [3], [1, 1, 3, 3, 3, 4, 4, 3, 1, 2], [], [0, 0, 2, 0, 0, 2, 0, 2, 1, 2, 2, 2, 0, 1, 2, 1], [3, 1, 3]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
95,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
96,"[[0], [3], [1, 1, 3, 3, 3, 4, 4, 3, 1, 2], [], [0, 0], [5]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
97,"[[0], [3], [], [], [0, 0], [3]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
98,"[[0], [3], [], [], [0, 0, 1, 0, 2, 0, 0, 0, 1], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
99,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
100,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
101,"[[0], [3], [], [3, 3, 1, 1, 4, 1], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
102,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
103,"[[0], [3], [4, 2, 2, 0, 1, 4, 1, 1, 3, 0, 0, 4, 2], [], [0], [3]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
104,"[[0], [3], [], [], [0], [0]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
105,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
106,"[[0], [3], [], [], [0], []]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
107,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
108,"[[0], [3], [2, 1, 3, 2, 4], [2, 4, 2, 0], [0, 0, 1, 0, 2, 0, 0, 0, 1], [1]]",2.138134469021581,3,x[0],"[1, 1, 0, 0, 1, 0]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
109,"[[0], [3], [], [], [1], [0]]",2.138134469021581,4,x[0],"[1, 1, 0, 0, 1, 1]",x[0],"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
110,"[[0], [2, 2, 1, 0, 0, 3, 3, 1, 3, 3, 2, 1, 3, 3], [2, 0, 3, 4, 4], [2, 0, 3], [0, 1, 0, 2, 1, 2], [5, 4]]",2.183808066875052,9,_exp_(sin((x[0]*x[5]+(x[0]|_div_|Constant)**_log_((x[4]**Constant))))),"[1, 14, 5, 3, 6, 2]",_exp_(sin((x[0]*x[5]+(x[0]|_div_|0.5942250656041724)**_log_((x[4]**0.723323292631134))))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
111,"[[0], [2, 3], [], [3], [1], [4]]",2.1846272071708634,5,_log_(x[4]),"[1, 2, 0, 1, 1, 1]",_log_(x[4]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
112,"[[0], [2, 3, 4, 2, 0, 3, 3, 0, 3], [2, 2], [3, 3], [1, 1, 1, 1], [4, 3, 4, 4]]",2.1846272071708634,5,_log_(x[4]),"[1, 2, 0, 1, 1, 1]",_log_(x[4]),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
113,"[[0], [2, 2, 2, 3], [2, 1, 3, 2, 4], [2, 4, 2, 0], [0, 0, 1, 0, 2, 0, 0, 0, 1], [1]]",2.1881817155182857,6,_exp_(_inv_(_exp_(x[0]))),"[1, 4, 0, 3, 1, 0]",_exp_(_inv_(_exp_(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
114,"[[0], [2, 2, 2, 3], [], [2, 4, 2, 0], [0, 0, 1, 0, 2, 0, 0, 0, 1], [1]]",2.1881817155182857,6,_exp_(_inv_(_exp_(x[0]))),"[1, 4, 0, 3, 1, 0]",_exp_(_inv_(_exp_(x[0]))),"{'generation': 0, 'evals': 1, 'test_error': 0.0}"
